Symbol,Rank,Score,3M Return,6M Return
MPHASIS,347,0.05178048887832389,0.16679207769455284,0.02917026019550173
GODREJIND,348,0.051039902965417216,0.06828103885135128,0.2538828360412637
PCBL,349,0.04988917078605557,0.2394976321442135,0.055605207284145086
JSWENERGY,350,0.049597862590619594,0.04180735827378945,0.13350785257886733
ELLEN,351,0.04690412628204722,0.18671287321509222,0.27966936507882156
INDIANB,352,0.046771457790256356,0.10805035897476944,-0.043307846807624006
LT,353,0.043886021698247825,0.04956215625577132,-0.04945224657150471
SUPRIYA,354,0.0433291849346416,0.17105263157894735,0.16103779048318723
PETRONET,355,0.03983947661918516,0.08878918138819891,-0.05035376199346375
JUBLINGREA,356,0.034055165449633724,0.013588896432380926,0.1702868416642247
GREAVESCOT,357,0.03243414073787237,0.24830988830495326,0.20108381602189374
GMMPFAUDLR,358,0.02307614920037483,0.18138641698151803,0.04745385023805482
BDL,359,0.020929624542555262,0.0655362450566277,0.07373772508358978
SPLPETRO,360,0.016484789708860702,0.035175188775283805,0.12283178305267728
PRESTIGE,361,0.01439383829970952,0.18723792888997637,0.042511421080204004
DEEPAKNTR,362,0.0123566393013757,0.019792422643812868,0.08415341224104389
OIL,363,0.004609639182838242,-0.047722546149659095,0.06274116423766629
IMFA,364,-0.0008480045052865063,-0.018875089285276148,0.04456494146774115
REFEX,365,-0.002245282876502434,0.11717478230702438,0.23550123405157497
TEGA,366,-0.003980384613300184,0.11535989717223649,0.06505062902730896
SUNPHARMA,367,-0.006740388345344002,-0.012583177578736171,0.09128917788240054
AIIL,368,-0.009943215682706235,0.1198995465609296,0.11218686662853106
EDELWEISS,369,-0.014856021680655623,0.10670288601885147,-0.042476475186201124
BRIGADE,370,-0.015214800373911607,0.18286511041900977,0.060144386506275405
SONATSOFTW,371,-0.015543631275489248,0.21737279363568884,0.11546022916148346
BALKRISIND,372,-0.01607507428812102,0.12628895714544752,-0.06097484262773434
TITAGARH,373,-0.01818385105399028,0.10987186791154668,0.09762988354391022
TRITURBINE,374,-0.022444874462262843,-0.018855274515488407,0.20205343822189414
GROWW,375,-0.046938916982845566,0.055924264877028174,0.13270311281610936
CONCOR,376,-0.04747249832379323,0.0436228192234176,0.034145729498044064
PERSISTENT,377,-0.0476651587617641,0.11335774117977238,-0.002979089574322469
YESBANK,378,-0.04967872211834571,0.03438789630284811,0.06214687895708626
CERA,379,-0.0502668003473795,0.05604016394353062,0.12521069514747163
GAIL,380,-0.05674143631816643,0.07283733666229275,0.02737434641017633
TIMKEN,381,-0.057913704352970656,-0.038030061020435824,0.04485903195405516
JSWSTEEL,382,-0.058145662548732546,-0.01284931416827173,0.019971658156787253
