Symbol,MarketCap,AsOf,Source
HEROMOTOCO,1044084950484.0,2026-09-09,pr_live_zip
HEXT,311557054320.8,2026-09-09,pr_live_zip
HFCL,375655762494.1,2026-09-09,pr_live_zip
HGINFRA,31187635169.05,2026-09-09,pr_live_zip
HINDALCO,2307676916468.7,2026-09-09,pr_live_zip
HINDCOPPER,514746885846.0,2026-09-09,pr_live_zip
HINDPETRO,742397276530.2,2026-09-09,pr_live_zip
HINDUNILVR,4569955004590.0,2026-09-09,pr_live_zip
HINDZINC,2558008122600.0,2026-09-09,pr_live_zip
HOMEFIRST,125670673208.3,2026-09-09,pr_live_zip
HONASA,153573706946.8,2026-09-09,pr_live_zip
HONAUT,302203256140.0,2026-09-09,pr_live_zip
HSCL,336554473612.95,2026-09-09,pr_live_zip
HUDCO,351033165000.0,2026-09-09,pr_live_zip
HYUNDAI,1773289696640.0,2026-09-09,pr_live_zip
ICICIAMC,1484505464820.0,2026-09-09,pr_live_zip
ICICIBANK,9964715601026.0,2026-09-09,pr_live_zip
ICICIGI,735779862598.0,2026-09-09,pr_live_zip
ICICIPRULI,670956633775.0,2026-09-09,pr_live_zip
ICIL,88243111187.0,2026-09-09,pr_live_zip
IDBI,876965921393.0,2026-09-09,pr_live_zip
IDEA,1681483903215.5,2026-09-09,pr_live_zip
IDFCFIRSTB,740737385776.0,2026-09-09,pr_live_zip
IEX,105175158093.25,2026-09-09,pr_live_zip
IFBIND,51329210772.8,2026-09-09,pr_live_zip
IFCI,239686202885.75,2026-09-09,pr_live_zip
IGIL,134617745304.0,2026-09-09,pr_live_zip
IGL,214088244672.0,2026-09-09,pr_live_zip
IIFL,257385415883.05,2026-09-09,pr_live_zip
IIFLCAPS,105360031330.2,2026-09-09,pr_live_zip
IKS,307476258243.9,2026-09-09,pr_live_zip
IMFA,70205082727.2,2026-09-09,pr_live_zip
INDGN,141283556736.75,2026-09-09,pr_live_zip
INDHOTEL,1028785642064.25,2026-09-09,pr_live_zip
INDIACEM,108944361011.55,2026-09-09,pr_live_zip
INDIAGLYCO,20195164294.5,2026-09-09,pr_live_zip
INDIAMART,100553329141.2,2026-09-09,pr_live_zip
INDIANB,1153876694323.65,2026-09-09,pr_live_zip
INDIASHLTR,72690203151.8,2026-09-09,pr_live_zip
INDIGO,1923621052550.0,2026-09-09,pr_live_zip
INDIGOPNTS,52977195614.4,2026-09-09,pr_live_zip
INDUSINDBK,782249283008.0,2026-09-09,pr_live_zip
INDUSTOWER,985881422290.9,2026-09-09,pr_live_zip
INFY,4199259861675.0,2026-09-09,pr_live_zip
INOXGREEN,70566241829.2,2026-09-09,pr_live_zip
INOXINDIA,198363629250.0,2026-09-09,pr_live_zip
INOXWIND,133748325044.6,2026-09-09,pr_live_zip
INTELLECT,95893354456.2,2026-09-09,pr_live_zip
IOB,635082331439.1,2026-09-09,pr_live_zip
IOC,1914839924734.8,2026-09-09,pr_live_zip
IONEXCHANG,64159299795.5,2026-09-09,pr_live_zip
IPCALAB,498173602464.8,2026-09-09,pr_live_zip
IRB,230327460000.0,2026-09-09,pr_live_zip
IRCON,108234551359.2,2026-09-09,pr_live_zip
IRCTC,375600000000.0,2026-09-09,pr_live_zip
IREDA,314605809703.3,2026-09-09,pr_live_zip
IRFC,1063645703340.0,2026-09-09,pr_live_zip
ITC,3267685314905.6,2026-09-09,pr_live_zip
ITCHOTELS,323507050550.8,2026-09-09,pr_live_zip
ITI,257514758574.15,2026-09-09,pr_live_zip
