Symbol,ATH,ATHDate,AsOf
HGINFRA,1867.4900992084374,2024-07-16,2026-09-15
HINDALCO,1169.8969824893504,2026-05-29,2026-09-15
HINDCOPPER,758.8333740234375,2026-01-29,2026-09-15
HINDPETRO,483.5386775606495,2026-01-05,2026-09-15
HINDUNILVR,2916.05385749114,2024-09-23,2026-09-15
HINDZINC,749.9854920642834,2024-05-22,2026-09-15
HOMEFIRST,1511.9341740585646,2025-07-25,2026-09-15
HONASA,543.6154651087332,2024-09-10,2026-09-15
HONAUT,59548.552890853185,2024-06-26,2026-09-15
HSCL,819.5,2026-07-21,2026-09-15
HUDCO,330.56528715593015,2024-07-12,2026-09-15
HYUNDAI,2862.6621204739863,2025-09-22,2026-09-15
ICICIAMC,3597.034549503453,2026-05-29,2026-09-15
ICICIBANK,1476.0704664133914,2025-07-25,2026-09-15
ICICIGI,2270.7510057371824,2024-09-23,2026-09-15
ICICIPRULI,792.9933546696263,2024-10-01,2026-09-15
ICIL,474.6499938964844,2026-08-31,2026-09-15
IDBI,163.42862767564057,2010-11-11,2026-09-15
IDEA,121.63051562424205,2015-04-17,2026-09-15
IDFCFIRSTB,100.07747327099237,2023-09-05,2026-09-15
IEX,294.424631982324,2021-10-19,2026-09-15
IFBIND,2359.89990234375,2024-10-21,2026-09-15
IFCI,107.5,2026-09-04,2026-09-15
IGIL,624.0641794050274,2025-01-09,2026-09-15
IGL,273.99489278720677,2024-10-01,2026-09-15
IIFL,705.0,2026-08-24,2026-09-15
IIFLCAPS,438.87831053644885,2024-10-18,2026-09-15
IKS,2189.0,2024-12-26,2026-09-15
IMFA,1670.7880501060147,2026-04-29,2026-09-15
INDGN,730.6330594113421,2024-10-01,2026-09-15
INDHOTEL,888.3200405956642,2024-12-30,2026-09-15
INDIACEM,485.79998779296875,2026-01-08,2026-09-15
INDIAGLYCO,1219.0,2026-08-25,2026-09-15
INDIAMART,4713.392226799789,2020-11-14,2026-09-15
INDIANB,980.0229061203939,2026-04-15,2026-09-15
INDIASHLTR,998.5796429781308,2025-07-21,2026-09-15
INDIGO,6232.5,2025-08-18,2026-09-15
INDIGOPNTS,3284.5956590111014,2021-02-03,2026-09-15
INDUSINDBK,1954.590286827845,2018-08-03,2026-09-15
INDUSTOWER,464.0362575162202,2026-02-19,2026-09-15
INFY,1907.500003205855,2024-12-13,2026-09-15
INOXGREEN,279.0,2025-11-03,2026-09-15
INOXINDIA,2339.5,2026-09-10,2026-09-15
INOXWIND,261.8999938964844,2024-09-23,2026-09-15
INTELLECT,1235.7615749823763,2025-06-17,2026-09-15
IOB,176.29638174447092,2008-01-07,2026-09-15
IOC,184.95879041358242,2026-02-27,2026-09-15
IONEXCHANG,761.3792902470556,2024-07-26,2026-09-15
IPCALAB,2001.5,2026-09-02,2026-09-15
IRB,38.49423779376564,2024-06-07,2026-09-15
IRCON,341.4603106975195,2024-07-15,2026-09-15
IRCTC,1223.7153063498738,2021-10-19,2026-09-15
IREDA,306.32409363107143,2024-07-15,2026-09-15
IRFC,221.22019365795316,2024-07-15,2026-09-15
ITC,469.0524337523458,2024-09-27,2026-09-15
ITCHOTELS,259.9158537483289,2025-07-21,2026-09-15
ITI,592.7000122070312,2025-01-07,2026-09-15
IXIGO,339.1499938964844,2025-10-16,2026-09-15
J&KBANK,201.75,2026-07-10,2026-09-15
JAIBALAJI,262.79998779296875,2024-03-01,2026-09-15
JAINREC,593.9500122070312,2026-05-08,2026-09-15
JAMNAAUTO,152.60000610351562,2026-02-16,2026-09-15
JAYNECOIND,117.0,2026-05-08,2026-09-15
JBMA,1209.9329992621447,2024-02-19,2026-09-15
JINDALSAW,376.84370953596743,2024-10-09,2026-09-15
JINDALSTEL,1303.865138167474,2026-04-21,2026-09-15
JIOFIN,393.1647231106195,2024-04-23,2026-09-15
JKCEMENT,7537.445678241374,2025-08-20,2026-09-15
JKLAKSHMI,1009.6860493002689,2025-07-22,2026-09-15
JKPAPER,616.918893426598,2024-07-02,2026-09-15
JKTYRE,605.8045982960336,2026-02-11,2026-09-15
JLHL,353.4928327124442,2025-03-25,2026-09-15
JMFINANCIL,194.86227440775485,2025-08-22,2026-09-15
JPPOWER,135.94139283866772,2008-01-09,2026-09-15
JSFB,760.9000244140625,2024-06-19,2026-09-15
JSL,879.2203373423794,2026-01-07,2026-09-15
JSLL,2495.232743404617,2024-12-09,2026-09-15
JSWCEMENT,161.55063622802473,2025-09-04,2026-09-15
JSWDULUX,4288.574689038813,2024-11-01,2026-09-15
JSWENERGY,799.0142834185139,2024-09-24,2026-09-15
JSWINFRA,358.3577557128655,2024-07-04,2026-09-15
JSWSTEEL,1351.0,2026-08-27,2026-09-15
JUBLFOOD,907.7273346816144,2021-10-18,2026-09-15
JUBLINGREA,872.8908827680846,2024-12-12,2026-09-15
JUBLPHARMA,1297.6081697496359,2024-11-07,2026-09-15
JUSTDIAL,1887.5207493285948,2014-08-05,2026-09-15
JWL,744.3348065829032,2024-07-05,2026-09-15
JYOTHYLAB,579.4432775234661,2024-09-11,2026-09-15
JYOTICNC,1504.300048828125,2024-12-18,2026-09-15
KAJARIACER,1556.9176810863,2024-09-24,2026-09-15
KALYANKJIL,789.8564195490569,2025-01-02,2026-09-15
KANSAINER,427.31816920155904,2021-01-21,2026-09-15
KARURVYSYA,358.6499938964844,2026-08-26,2026-09-15
KAYNES,7822.0,2025-01-01,2026-09-15
KEC,1289.991648802419,2024-12-04,2026-09-15
KEI,5899.0,2026-08-18,2026-09-15
KFINTECH,1608.6523417590927,2024-12-30,2026-09-15
KIMS,858.0,2026-07-06,2026-09-15
KIRLOSBROS,2657.3982902361986,2024-07-08,2026-09-15
KIRLOSENG,2714.2611782271474,2026-06-23,2026-09-15
KIRLPNU,1093.5391904117103,2026-06-22,2026-09-15
KITEX,323.55175802143447,2025-05-23,2026-09-15
KNRCON,414.5699476425249,2024-07-31,2026-09-15
KOTAKBANK,459.0573048097072,2025-04-22,2026-09-15
KPIGREEN,743.0646151592936,2024-08-12,2026-09-15
KPIL,1468.0,2026-08-12,2026-09-15
KPITTECH,1890.411008169304,2024-07-12,2026-09-15
KPRMILL,1379.2193153782894,2025-05-09,2026-09-15
KRBL,624.722223856117,2017-11-02,2026-09-15
KRN,1687.0,2026-09-09,2026-09-15
KSB,1049.031574213662,2024-07-15,2026-09-15
KSCL,1593.7744715831175,2025-04-16,2026-09-15
KTKBANK,345.8999938964844,2026-09-04,2026-09-15
LALPATHLAB,2045.003216360937,2021-09-15,2026-09-15
LATENTVIEW,754.9000244140625,2021-11-26,2026-09-15
LAURUSLABS,1981.800048828125,2026-09-11,2026-09-15
LEMONTREE,180.67999267578125,2025-09-08,2026-09-15
LENSKART,703.5,2026-09-10,2026-09-15
LGEINDIA,1755.0,2026-08-17,2026-09-15
LICHSGFIN,785.9462091003948,2024-07-16,2026-09-15
LICI,589.192968298781,2024-08-01,2026-09-15
LINDEINDIA,9885.087964322514,2024-05-22,2026-09-15
LLOYDSENGG,99.47641802454628,2026-08-10,2026-09-15
LLOYDSENT,96.06790615034079,2025-07-04,2026-09-15
LLOYDSME,2125.0,2026-08-10,2026-09-15
LODHA,1635.9004649814221,2024-06-18,2026-09-15
LOTUSDEV,218.17469788902835,2025-08-11,2026-09-15
LT,4397.052414797838,2026-02-24,2026-09-15
LTF,338.6000061035156,2026-07-07,2026-09-15
LTFOODS,514.9841104747879,2025-07-17,2026-09-15
LTM,7132.066827943551,2022-01-04,2026-09-15
LTTS,5836.765441461211,2024-08-29,2026-09-15
LUMAXTECH,2148.699951171875,2026-09-01,2026-09-15
LUPIN,2523.699951171875,2026-07-21,2026-09-15
LXCHEM,621.1278394317823,2021-09-16,2026-09-15
M&M,3799.9943064302024,2026-01-05,2026-09-15
M&MFIN,415.0,2026-08-10,2026-09-15
MAHABANK,94.5,2026-06-29,2026-09-15
MAHSCOOTER,18282.171657913605,2025-09-15,2026-09-15
MAHSEAMLES,1046.6818538935856,2024-01-30,2026-09-15
MANAPPURAM,380.45671483079525,2026-07-30,2026-09-15
MANKIND,3053.5964301796143,2024-12-23,2026-09-15
MANORAMA,2148.6752714346185,2026-09-08,2026-09-15
MANYAVAR,1496.0432456284382,2024-12-02,2026-09-15
MAPMYINDIA,2730.316792866799,2024-06-21,2026-09-15
MARICO,889.0999755859375,2026-07-30,2026-09-15
MARKSANS,356.45458484954185,2024-12-02,2026-09-15
MARUTI,17197.28603290768,2026-01-05,2026-09-15
MASTEK,3500.7501355981676,2021-10-19,2026-09-15
MAXHEALTH,1311.9685090889625,2025-07-04,2026-09-15
MAZDOCK,3744.8907380873898,2025-05-29,2026-09-15
MCX,3471.4939344339746,2026-05-21,2026-09-15
MEDANTA,1544.0,2026-08-27,2026-09-15
MEDPLUS,1343.0,2022-01-20,2026-09-15
MEESHO,254.39999389648438,2025-12-18,2026-09-15
METROPOLIS,880.3366179646302,2021-12-30,2026-09-15
MFSL,1892.5,2026-02-23,2026-09-15
MGL,1893.3216978761607,2024-09-25,2026-09-15
MIDHANI,542.5873150402987,2024-02-05,2026-09-15
MINDACORP,769.0,2026-08-14,2026-09-15
MMTC,1252.3024242518482,2010-01-15,2026-09-15
MOIL,565.0017870312278,2024-07-08,2026-09-15
MOTHERSON,173.27000427246094,2026-08-19,2026-09-15
